year_ceremony,fixed_race,category,count,award,pct_race
1928,white,Actor In A Leading Role,2,oscars,1.0
1928,white,Actress In A Leading Role,3,oscars,1.0
1929,white,Actor In A Leading Role,5,oscars,1.0
1929,white,Actress In A Leading Role,6,oscars,1.0
1929,white,DIRECTING,6,oscars,1.0
1930,white,Actor In A Leading Role,6,oscars,1.0
1930,white,Actress In A Leading Role,6,oscars,1.0
1930,white,DIRECTING,5,oscars,1.0
1931,white,Actor In A Leading Role,5,oscars,1.0
1931,white,Actress In A Leading Role,5,oscars,1.0
1931,white,DIRECTING,5,oscars,1.0
1932,white,Actor In A Leading Role,3,oscars,1.0
1932,white,Actress In A Leading Role,3,oscars,1.0
1932,white,DIRECTING,3,oscars,1.0
1933,white,Actor In A Leading Role,3,oscars,1.0
1933,white,Actress In A Leading Role,3,oscars,1.0
1933,white,DIRECTING,3,oscars,1.0
1935,white,Actor In A Leading Role,3,oscars,1.0
1935,white,Actress In A Leading Role,4,oscars,1.0
1935,white,DIRECTING,3,oscars,1.0
1936,asian,Actress In A Leading Role,1,oscars,0.16666666666666666
1936,white,Actor In A Leading Role,5,oscars,1.0
1936,white,Actress In A Leading Role,5,oscars,0.8333333333333334
1936,white,DIRECTING,4,oscars,1.0
1937,white,Actor In A Leading Role,5,oscars,1.0
1937,white,Actress In A Leading Role,5,oscars,1.0
1937,white,DIRECTING,5,oscars,1.0
1937,white,Supporting Actor In A Leading Role,5,oscars,1.0
1937,white,Supporting Actress In A Leading Role,5,oscars,1.0
1938,white,Actor In A Leading Role,5,oscars,1.0
1938,white,Actress In A Leading Role,5,oscars,1.0
1938,white,DIRECTING,5,oscars,1.0
1938,white,Supporting Actor In A Leading Role,5,oscars,1.0
1938,white,Supporting Actress In A Leading Role,5,oscars,1.0
1939,white,Actor In A Leading Role,5,oscars,1.0
1939,white,Actress In A Leading Role,5,oscars,1.0
1939,white,DIRECTING,5,oscars,1.0
1939,white,Supporting Actor In A Leading Role,5,oscars,1.0
1939,white,Supporting Actress In A Leading Role,5,oscars,1.0
1940,black,Supporting Actress In A Leading Role,1,oscars,0.2
1940,white,Actor In A Leading Role,5,oscars,1.0
1940,white,Actress In A Leading Role,5,oscars,1.0
1940,white,DIRECTING,5,oscars,1.0
1940,white,Supporting Actor In A Leading Role,5,oscars,1.0
1940,white,Supporting Actress In A Leading Role,4,oscars,0.8
1941,white,Actor In A Leading Role,5,oscars,1.0
1941,white,Actress In A Leading Role,5,oscars,1.0
1941,white,DIRECTING,5,oscars,1.0
1941,white,Supporting Actor In A Leading Role,5,oscars,1.0
1941,white,Supporting Actress In A Leading Role,5,oscars,1.0
1942,white,Actor In A Leading Role,5,oscars,1.0
1942,white,Actress In A Leading Role,5,oscars,1.0
1942,white,DIRECTING,5,oscars,1.0
1942,white,Supporting Actor In A Leading Role,5,oscars,1.0
1942,white,Supporting Actress In A Leading Role,5,oscars,1.0
1943,white,Actor In A Leading Role,5,oscars,1.0
1943,white,Actress In A Leading Role,5,oscars,1.0
1943,white,DIRECTING,5,oscars,1.0
1943,white,Supporting Actor In A Leading Role,5,oscars,1.0
1943,white,Supporting Actress In A Leading Role,5,oscars,1.0
1944,white,Actor In A Leading Role,5,oscars,1.0
1944,white,Actress In A Leading Role,5,oscars,1.0
1944,white,DIRECTING,5,oscars,1.0
1944,white,Supporting Actor In A Leading Role,5,oscars,1.0
1944,white,Supporting Actress In A Leading Role,5,oscars,1.0
1945,white,Actor In A Leading Role,5,oscars,1.0
1945,white,Actress In A Leading Role,5,oscars,1.0
1945,white,DIRECTING,5,oscars,1.0
1945,white,Supporting Actor In A Leading Role,5,oscars,1.0
1945,white,Supporting Actress In A Leading Role,5,oscars,1.0
1946,white,Actor In A Leading Role,5,oscars,1.0
1946,white,Actress In A Leading Role,5,oscars,1.0
1946,white,DIRECTING,5,oscars,1.0
1946,white,Supporting Actor In A Leading Role,5,oscars,1.0
1946,white,Supporting Actress In A Leading Role,5,oscars,1.0
1947,white,Actor In A Leading Role,5,oscars,1.0
1947,white,Actress In A Leading Role,5,oscars,1.0
1947,white,DIRECTING,5,oscars,1.0
1947,white,Supporting Actor In A Leading Role,5,oscars,1.0
1947,white,Supporting Actress In A Leading Role,5,oscars,1.0
1948,white,Actor In A Leading Role,5,oscars,1.0
1948,white,Actress In A Leading Role,5,oscars,1.0
1948,white,DIRECTING,5,oscars,1.0
1948,white,Supporting Actor In A Leading Role,5,oscars,1.0
1948,white,Supporting Actress In A Leading Role,5,oscars,1.0
1949,white,Actor In A Leading Role,5,oscars,1.0
1949,white,Actress In A Leading Role,5,oscars,1.0
