,Unnamed: 0,year_film,year_award,ceremony,category,nominee,film,win,single_award,race
0,0,1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,For Whom The Bell Tolls,True,True,White
1,1,1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,For Whom The Bell Tolls,True,True,White
2,4,1943,1944,1,Actress In A Leading Role,Jennifer Jones,The Song Of Bernadette,True,True,White
3,2197,1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Jones,The Towering Inferno,False,True,White
4,5,1943,1944,1,Actor In A Leading Role,Paul Lukas,Watch On The Rhine,True,True,White
5,6,1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,Mrs. Parkington,True,True,White
6,1055,1964,1965,22,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,"Hush...Hush, Sweet Charlotte",True,True,White
7,7,1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,Going My Way,True,True,White
8,10,1944,1945,2,Actress In A Leading Role,Ingrid Bergman,Gaslight,True,True,White
9,17,1945,1946,3,Actress In A Leading Role,Ingrid Bergman,The Bells of St. Mary's,True,True,White
10,319,1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,Anastasia (1956),False,True,White
11,460,1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,"Inn of the Sixth Happiness, The",False,True,White
12,525,1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Ingrid Bergman,Indiscreet,False,True,White
13,1601,1969,1970,27,Actress In A Leading Role - Musical Or Comedy,Ingrid Bergman,Cactus Flower,False,True,White
14,2679,1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,Autumn Sonata,False,True,White
15,3263,1982,1983,40,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ingrid Bergman,"Woman Called Golda, A",True,True,White
16,11,1944,1945,2,Actor In A Leading Role,Alexander Knox,Wilson,True,True,White
17,12,1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,The Picture of Dorian Gray,True,True,White
18,824,1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,"Manchurian Candidate, The",True,True,White
19,1731,1970,1971,28,Actress In A Leading Role - Musical Or Comedy,Angela Lansbury,Something for Everyone,False,True,White
