,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,percent_white,percent_black,percent_asian,percent_hispanic,percent_other
0,tt0015624,La grande parata,The Big Parade,1925,1926,"Drama, Romance, War",151,USA,,"King Vidor, George W. Hill","Laurence Stallings, Harry Behn",Metro-Goldwyn-Mayer (MGM),"John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell, Claire Adams, Robert Ober, Tom O'Brien, Karl Dane, Rosita Marstini",A young American soldier witnesses the horrors of the Great War.,7.9,6096,$ 245000,,,,56.0,54.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0
1,tt0017136,Metropolis,Metropolis,1927,1928-10-01,"Drama, Sci-Fi",153,Germany,German,Fritz Lang,"Thea von Harbou, Thea von Harbou",Universum Film (UFA),"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",8.3,156076,DEM 6000000,$ 1236166,$ 1349711,98.0,495.0,208.0,1.0,0.0,0.0,0.0,0.0
2,tt0019729,La canzone di Broadway,The Broadway Melody,1929,1929-06-06,"Drama, Musical, Romance",100,USA,English,Harry Beaumont,"Edmund Goulding, Norman Houston",Metro-Goldwyn-Mayer (MGM),"Charles King, Anita Page, Bessie Love","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.",5.7,6327,$ 379000,,,,85.0,35.0,1.0,0.0,0.0,0.0,0.0
3,tt0020960,Gli angeli dell'inferno,Hell's Angels,1930,1930-11-15,"Drama, War",127,USA,"English, German, French","Howard Hughes, Edmund Goulding","Marshall Neilan, Joseph Moncure March",The Caddo Company,"Ben Lyon, James Hall, Jean Harlow, John Darrow, Lucien Prival, Frank Clarke, Roy Wilson, Douglas Gilmore, Jane Winton, Evelyn Hall, William B. Davidson, Wyndham Standing, Lena Malena, Marian Marsh, Carl von Haartman",Brothers Monte and Ray leave Oxford to join the Royal Flying Corps. Ray loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.,7.4,4748,$ 3950000,,,,65.0,41.0,0.9333333333333332,0.06666666666666668,0.0,0.0,0.0
4,tt0022879,Addio alle armi,A Farewell to Arms,1932,1932-12-08,"Drama, Romance, War",80,USA,English,Frank Borzage,"Benjamin Glazer, Oliver H.P. Garrett",Paramount Pictures,"Helen Hayes, Gary Cooper, Adolphe Menjou, Mary Philips, Jack La Rue, Blanche Friderici, Mary Forbes, Gilbert Emery",An American ambulance driver and an English nurse fall in love in Italy during World War I.,6.5,4957,$ 799520,,,,62.0,47.0,1.0,0.0,0.0,0.0,0.0
5,tt0024034,42a strada,42nd Street,1933,1933-09-16,"Comedy, Musical, Romance",89,USA,English,Lloyd Bacon,"Rian James, James Seymour",Warner Bros.,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Guy Kibbee, Una Merkel, Ginger Rogers, Ned Sparks, Dick Powell, Allen Jenkins, Edward J. Nugent, Robert McWade, George E. Stone","A director puts on what may be his last Broadway show and, at the last moment, a naive newcomer has to replace the star.",7.4,10490,$ 439000,,$ 1600,83.0,124.0,74.0,0.9230769230769232,0.07692307692307693,0.0,0.0,0.0
6,tt0024548,Lady Lou - La donna fatale,She Done Him Wrong,1933,1933-02-09,"Comedy, Drama, History",66,USA,English,Lowell Sherman,"Mae West, Harvey F. Thew",Paramount Pictures,"Mae West, Cary Grant, Owen Moore, Gilbert Roland, Noah Beery, David Landau, Rafaela Ottiano, Dewey Robinson, Rochelle Hudson, Tammany Young, Fuzzy Knight, Grace La Rue, Robert Homans, Louise Beavers","In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.",6.3,5256,$ 200000,,,,68.0,36.0,0.7857142857142857,0.14285714285714285,0.0,0.07142857142857142,0.0
7,tt0025316,Accadde una notte,It Happened One Night,1934,1934-12-11,"Comedy, Romance",105,USA,English,Frank Capra,"Robert Riskin, Samuel Hopkins Adams",Columbia Pictures,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale, Arthur Hoyt, Blanche Friderici, Charles C. Wilson",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,8.1,91400,$ 325000,,,87.0,299.0,120.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
8,tt0027125,Cappello a cilindro,Top Hat,1935,1938-01-24,"Comedy, Musical, Romance",101,USA,"English, Italian",Mark Sandrich,"Dwight Taylor, Allan Scott",RKO Radio Pictures,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes, Eric Blore, Helen Broderick","An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",7.7,17004,$ 609000,,,92.0,121.0,56.0,1.0,0.0,0.0,0.0,0.0
9,tt0027438,La carica dei seicento,The Charge of the Light Brigade,1936,1936-10-20,"Action, Adventure, Romance",115,USA,English,Michael Curtiz,"Alfred Lord Tennyson, Michael Jacoby",Warner Bros.,"Errol Flynn, Olivia de Havilland, Patric Knowles, Henry Stephenson, Nigel Bruce, Donald Crisp, David Niven, C. Henry Gordon, G.P. Huntley, Robert Barrat, Spring Byington, E.E. Clive, J. Carrol Naish, Walter Holbrook, Princess Baba","A major countermands orders and attacks to avenge a previous massacre of men, women, and children.",7.1,4441,$ 1200000,,,,57.0,32.0,0.9333333333333332,0.0,0.06666666666666668,0.0,0.0
