,year_film,year_ceremony,ceremony,category,name,film,winner,race
0,1927.0,1928.0,1.0,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,False,White
1,1927.0,1928.0,1.0,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,True,White
2,1928.0,1929.0,2.0,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,False,White
3,1928.0,1929.0,2.0,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,True,White
4,1928.0,1929.0,2.0,ACTOR IN A LEADING ROLE,Chester Morris,Alibi,False,White
5,1928.0,1929.0,2.0,ACTOR IN A LEADING ROLE,Paul Muni,The Valiant,False,White
6,1932.0,1933.0,6.0,ACTOR IN A LEADING ROLE,Paul Muni,I Am a Fugitive from a Chain Gang,False,White
7,1935.0,1936.0,8.0,ACTOR IN A LEADING ROLE,Paul Muni,Black Fury,False,White
8,1936.0,1937.0,9.0,ACTOR IN A LEADING ROLE,Paul Muni,The Story of Louis Pasteur,True,White
9,1937.0,1938.0,10.0,ACTOR IN A LEADING ROLE,Paul Muni,The Life of Emile Zola,False,White
10,1959.0,1960.0,32.0,ACTOR IN A LEADING ROLE,Paul Muni,The Last Angry Man,False,White
11,1928.0,1929.0,2.0,ACTOR IN A LEADING ROLE,Lewis Stone,The Patriot,False,White
12,1929.0,1930.0,3.0,ACTOR IN A LEADING ROLE,George Arliss,Disraeli,True,White
13,1929.0,1930.0,3.0,ACTOR IN A LEADING ROLE,George Arliss,The Green Goddess,False,White
14,1929.0,1930.0,3.0,ACTOR IN A LEADING ROLE,Wallace Beery,The Big House,False,White
15,1931.0,1932.0,5.0,ACTOR IN A LEADING ROLE,Wallace Beery,The Champ,True,White
16,1929.0,1930.0,3.0,ACTOR IN A LEADING ROLE,Maurice Chevalier,The Big Pond,False,White
17,1929.0,1930.0,3.0,ACTOR IN A LEADING ROLE,Ronald Colman,Bulldog Drummond,False,White
18,1942.0,1943.0,15.0,ACTOR IN A LEADING ROLE,Ronald Colman,Random Harvest,False,White
19,1947.0,1948.0,20.0,ACTOR IN A LEADING ROLE,Ronald Colman,A Double Life,True,White
20,1929.0,1930.0,3.0,ACTOR IN A LEADING ROLE,Lawrence Tibbett,The Rogue Song,False,Black
21,1930.0,1931.0,4.0,ACTOR IN A LEADING ROLE,Lionel Barrymore,A Free Soul,True,White
22,1928.0,1929.0,2.0,DIRECTING,Lionel Barrymore,Madame X,False,White
23,1930.0,1931.0,4.0,ACTOR IN A LEADING ROLE,Jackie Cooper,Skippy,False,White
24,1930.0,1931.0,4.0,ACTOR IN A LEADING ROLE,Richard Dix,Cimarron,False,White
25,1930.0,1931.0,4.0,ACTOR IN A LEADING ROLE,Fredric March,The Royal Family of Broadway,False,White
26,1931.0,1932.0,5.0,ACTOR IN A LEADING ROLE,Fredric March,Dr. Jekyll and Mr. Hyde,True,White
27,1937.0,1938.0,10.0,ACTOR IN A LEADING ROLE,Fredric March,A Star Is Born,False,White
28,1946.0,1947.0,19.0,ACTOR IN A LEADING ROLE,Fredric March,The Best Years of Our Lives,True,White
29,1951.0,1952.0,24.0,ACTOR IN A LEADING ROLE,Fredric March,Death of a Salesman,False,White
30,1930.0,1931.0,4.0,ACTOR IN A LEADING ROLE,Adolphe Menjou,The Front Page,False,White
31,1931.0,1932.0,5.0,ACTOR IN A LEADING ROLE,Alfred Lunt,The Guardsman,False,White
32,1932.0,1933.0,6.0,ACTOR IN A LEADING ROLE,Leslie Howard,Berkeley Square,False,White
33,1938.0,1939.0,11.0,ACTOR IN A LEADING ROLE,Leslie Howard,Pygmalion,False,White
34,1932.0,1933.0,6.0,ACTOR IN A LEADING ROLE,Charles Laughton,The Private Life of Henry VIII,True,White
35,1935.0,1936.0,8.0,ACTOR IN A LEADING ROLE,Charles Laughton,Mutiny on the Bounty,False,White
36,1957.0,1958.0,30.0,ACTOR IN A LEADING ROLE,Charles Laughton,Witness for the Prosecution,False,White
37,1934.0,1935.0,7.0,ACTOR IN A LEADING ROLE,Clark Gable,It Happened One Night,True,White
38,1935.0,1936.0,8.0,ACTOR IN A LEADING ROLE,Clark Gable,Mutiny on the Bounty,False,White
39,1939.0,1940.0,12.0,ACTOR IN A LEADING ROLE,Clark Gable,Gone with the Wind,False,White
40,1934.0,1935.0,7.0,ACTOR IN A LEADING ROLE,Frank Morgan,The Affairs of Cellini,False,White
41,1942.0,1943.0,15.0,ACTOR IN A SUPPORTING ROLE,Frank Morgan,Tortilla Flat,False,White
42,1934.0,1935.0,7.0,ACTOR IN A LEADING ROLE,William Powell,The Thin Man,False,White
43,1936.0,1937.0,9.0,ACTOR IN A LEADING ROLE,William Powell,My Man Godfrey,False,White
44,1947.0,1948.0,20.0,ACTOR IN A LEADING ROLE,William Powell,Life with Father,False,White
45,1935.0,1936.0,8.0,ACTOR IN A LEADING ROLE,Victor McLaglen,The Informer,True,White
46,1952.0,1953.0,25.0,ACTOR IN A SUPPORTING ROLE,Victor McLaglen,The Quiet Man,False,White
47,1935.0,1936.0,8.0,ACTOR IN A LEADING ROLE,Franchot Tone,Mutiny on the Bounty,False,White
48,1936.0,1937.0,9.0,ACTOR IN A LEADING ROLE,Gary Cooper,Mr. Deeds Goes to Town,False,White
49,1941.0,1942.0,14.0,ACTOR IN A LEADING ROLE,Gary Cooper,Sergeant York,True,White
50,1942.0,1943.0,15.0,ACTOR IN A LEADING ROLE,Gary Cooper,The Pride of the Yankees,False,White
51,1943.0,1944.0,16.0,ACTOR IN A LEADING ROLE,Gary Cooper,For Whom the Bell Tolls,False,White
52,1952.0,1953.0,25.0,ACTOR IN A LEADING ROLE,Gary Cooper,High Noon,True,White
53,1936.0,1937.0,9.0,ACTOR IN A LEADING ROLE,Walter Huston,Dodsworth,False,White
54,1941.0,1942.0,14.0,ACTOR IN A LEADING ROLE,Walter Huston,All That Money Can Buy,False,White
55,1942.0,1943.0,15.0,ACTOR IN A SUPPORTING ROLE,Walter Huston,Yankee Doodle Dandy,False,White
56,1948.0,1949.0,21.0,ACTOR IN A SUPPORTING ROLE,Walter Huston,The Treasure of the Sierra Madre,True,White
57,1936.0,1937.0,9.0,ACTOR IN A LEADING ROLE,Spencer Tracy,San Francisco,False,White
58,1937.0,1938.0,10.0,ACTOR IN A LEADING ROLE,Spencer Tracy,Captains Courageous,True,White
59,1938.0,1939.0,11.0,ACTOR IN A LEADING ROLE,Spencer Tracy,Boys Town,True,White
60,1950.0,1951.0,23.0,ACTOR IN A LEADING ROLE,Spencer Tracy,Father of the Bride,False,White
61,1955.0,1956.0,28.0,ACTOR IN A LEADING ROLE,Spencer Tracy,Bad Day at Black Rock,False,White
62,1958.0,1959.0,31.0,ACTOR IN A LEADING ROLE,Spencer Tracy,The Old Man and the Sea,False,White
63,1960.0,1961.0,33.0,ACTOR IN A LEADING ROLE,Spencer Tracy,Inherit the Wind,False,White
64,1961.0,1962.0,34.0,ACTOR IN A LEADING ROLE,Spencer Tracy,Judgment at Nuremberg,False,White
65,1967.0,1968.0,40.0,ACTOR IN A LEADING ROLE,Spencer Tracy,Guess Who's Coming to Dinner,False,White
66,1937.0,1938.0,10.0,ACTOR IN A LEADING ROLE,Charles Boyer,Conquest,False,White
67,1938.0,1939.0,11.0,ACTOR IN A LEADING ROLE,Charles Boyer,Algiers,False,White
68,1944.0,1945.0,17.0,ACTOR IN A LEADING ROLE,Charles Boyer,Gaslight,False,White
69,1961.0,1962.0,34.0,ACTOR IN A LEADING ROLE,Charles Boyer,Fanny,False,White
70,1937.0,1938.0,10.0,ACTOR IN A LEADING ROLE,Robert Montgomery,Night Must Fall,False,White
71,1941.0,1942.0,14.0,ACTOR IN A LEADING ROLE,Robert Montgomery,Here Comes Mr. Jordan,False,White
72,1938.0,1939.0,11.0,ACTOR IN A LEADING ROLE,James Cagney,Angels with Dirty Faces,False,White
73,1942.0,1943.0,15.0,ACTOR IN A LEADING ROLE,James Cagney,Yankee Doodle Dandy,True,White
74,1955.0,1956.0,28.0,ACTOR IN A LEADING ROLE,James Cagney,Love Me or Leave Me,False,White
75,1938.0,1939.0,11.0,ACTOR IN A LEADING ROLE,Robert Donat,The Citadel,False,White
76,1939.0,1940.0,12.0,ACTOR IN A LEADING ROLE,Robert Donat,"Goodbye, Mr. Chips",True,White
77,1939.0,1940.0,12.0,ACTOR IN A LEADING ROLE,Laurence Olivier,Wuthering Heights,False,White
78,1940.0,1941.0,13.0,ACTOR IN A LEADING ROLE,Laurence Olivier,Rebecca,False,White
79,1946.0,1947.0,19.0,ACTOR IN A LEADING ROLE,Laurence Olivier,Henry V,False,White
80,1948.0,1949.0,21.0,ACTOR IN A LEADING ROLE,Laurence Olivier,Hamlet,True,White
81,1960.0,1961.0,33.0,ACTOR IN A LEADING ROLE,Laurence Olivier,The Entertainer,False,White
82,1965.0,1966.0,38.0,ACTOR IN A LEADING ROLE,Laurence Olivier,Othello,False,White
83,1972.0,1973.0,45.0,ACTOR IN A LEADING ROLE,Laurence Olivier,Sleuth,False,White
84,1978.0,1979.0,51.0,ACTOR IN A LEADING ROLE,Laurence Olivier,The Boys from Brazil,False,White
85,1976.0,1977.0,49.0,ACTOR IN A SUPPORTING ROLE,Laurence Olivier,Marathon Man,False,White
86,1948.0,1949.0,21.0,DIRECTING,Laurence Olivier,Hamlet,False,White
87,1939.0,1940.0,12.0,ACTOR IN A LEADING ROLE,Mickey Rooney,Babes in Arms,False,White
88,1943.0,1944.0,16.0,ACTOR IN A LEADING ROLE,Mickey Rooney,The Human Comedy,False,White
89,1956.0,1957.0,29.0,ACTOR IN A SUPPORTING ROLE,Mickey Rooney,The Bold and the Brave,False,White
90,1979.0,1980.0,52.0,ACTOR IN A SUPPORTING ROLE,Mickey Rooney,The Black Stallion,False,White
91,1939.0,1940.0,12.0,ACTOR IN A LEADING ROLE,James Stewart,Mr. Smith Goes to Washington,False,White
92,1940.0,1941.0,13.0,ACTOR IN A LEADING ROLE,James Stewart,The Philadelphia Story,True,White
93,1946.0,1947.0,19.0,ACTOR IN A LEADING ROLE,James Stewart,It's a Wonderful Life,False,White
94,1950.0,1951.0,23.0,ACTOR IN A LEADING ROLE,James Stewart,Harvey,False,White
95,1959.0,1960.0,32.0,ACTOR IN A LEADING ROLE,James Stewart,Anatomy of a Murder,False,White
96,1940.0,1941.0,13.0,ACTOR IN A LEADING ROLE,Charles Chaplin,The Great Dictator,False,White
97,1940.0,1941.0,13.0,ACTOR IN A LEADING ROLE,Henry Fonda,The Grapes of Wrath,False,White
98,1981.0,1982.0,54.0,ACTOR IN A LEADING ROLE,Henry Fonda,On Golden Pond,True,White
99,1940.0,1941.0,13.0,ACTOR IN A LEADING ROLE,Raymond Massey,Abe Lincoln in Illinois,False,White
100,1941.0,1942.0,14.0,ACTOR IN A LEADING ROLE,Cary Grant,Penny Serenade,False,White
101,1944.0,1945.0,17.0,ACTOR IN A LEADING ROLE,Cary Grant,None but the Lonely Heart,False,White
102,1941.0,1942.0,14.0,ACTOR IN A LEADING ROLE,Orson Welles,Citizen Kane,False,White
103,1941.0,1942.0,14.0,DIRECTING,Orson Welles,Citizen Kane,False,White
104,1942.0,1943.0,15.0,ACTOR IN A LEADING ROLE,Walter Pidgeon,Mrs. Miniver,False,White
105,1943.0,1944.0,16.0,ACTOR IN A LEADING ROLE,Walter Pidgeon,Madame Curie,False,White
106,1942.0,1943.0,15.0,ACTOR IN A LEADING ROLE,Monty Woolley,The Pied Piper,False,White
107,1944.0,1945.0,17.0,ACTOR IN A SUPPORTING ROLE,Monty Woolley,Since You Went Away,False,White
108,1943.0,1944.0,16.0,ACTOR IN A LEADING ROLE,Humphrey Bogart,Casablanca,False,White
109,1951.0,1952.0,24.0,ACTOR IN A LEADING ROLE,Humphrey Bogart,The African Queen,True,White
110,1954.0,1955.0,27.0,ACTOR IN A LEADING ROLE,Humphrey Bogart,The Caine Mutiny,False,White
111,1943.0,1944.0,16.0,ACTOR IN A LEADING ROLE,Paul Lukas,Watch on the Rhine,True,White
112,1944.0,1945.0,17.0,ACTOR IN A LEADING ROLE,Bing Crosby,Going My Way,True,White
113,1945.0,1946.0,18.0,ACTOR IN A LEADING ROLE,Bing Crosby,The Bells of St. Mary's,False,White
114,1954.0,1955.0,27.0,ACTOR IN A LEADING ROLE,Bing Crosby,The Country Girl,False,White
115,1944.0,1945.0,17.0,ACTOR IN A LEADING ROLE,Barry Fitzgerald,Going My Way,False,White
116,1944.0,1945.0,17.0,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,Going My Way,True,White
