id,year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
0,1927,1928,1,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,FALSE,white,white
1,1927,1928,1,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,TRUE,white,white
2,1928,1929,2,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,FALSE,white,white
3,1928,1929,2,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,TRUE,white,white
4,1928,1929,2,ACTOR IN A LEADING ROLE,Chester Morris,Alibi,FALSE,white,white
5,1928,1929,2,ACTOR IN A LEADING ROLE,Paul Muni,The Valiant,FALSE,white,white
6,1928,1929,2,ACTOR IN A LEADING ROLE,Lewis Stone,The Patriot,FALSE,white,white
7,1929,1930,3,ACTOR IN A LEADING ROLE,George Arliss,Disraeli,TRUE,white,white
8,1929,1930,3,ACTOR IN A LEADING ROLE,George Arliss,The Green Goddess,FALSE,white,white
9,1929,1930,3,ACTOR IN A LEADING ROLE,Wallace Beery,The Big House,FALSE,white,white
10,1929,1930,3,ACTOR IN A LEADING ROLE,Maurice Chevalier,The Big Pond,FALSE,white,white
11,1929,1930,3,ACTOR IN A LEADING ROLE,Ronald Colman,Bulldog Drummond,FALSE,white,white
12,1929,1930,3,ACTOR IN A LEADING ROLE,Lawrence Tibbett,The Rogue Song,FALSE,white,white
13,1930,1931,4,ACTOR IN A LEADING ROLE,Lionel Barrymore,A Free Soul,TRUE,white,white
14,1930,1931,4,ACTOR IN A LEADING ROLE,Jackie Cooper,Skippy,FALSE,white,white
15,1930,1931,4,ACTOR IN A LEADING ROLE,Richard Dix,Cimarron,FALSE,white,white
16,1930,1931,4,ACTOR IN A LEADING ROLE,Fredric March,The Royal Family of Broadway,FALSE,white,white
17,1930,1931,4,ACTOR IN A LEADING ROLE,Adolphe Menjou,The Front Page,FALSE,white,white
18,1931,1932,5,ACTOR IN A LEADING ROLE,Wallace Beery,The Champ,TRUE,white,white
19,1931,1932,5,ACTOR IN A LEADING ROLE,Alfred Lunt,The Guardsman,FALSE,white,white
