year_film,year_ceremony,ceremony,category,name,film,winner,race
1927,1928,1,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,FALSE,white
1927,1928,1,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,TRUE,white
1928,1929,2,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,FALSE,white
1928,1929,2,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,TRUE,white
1928,1929,2,ACTOR IN A LEADING ROLE,Chester Morris,Alibi,FALSE,white
1928,1929,2,ACTOR IN A LEADING ROLE,Paul Muni,The Valiant,FALSE,white
1928,1929,2,ACTOR IN A LEADING ROLE,Lewis Stone,The Patriot,FALSE,white
1929,1930,3,ACTOR IN A LEADING ROLE,George Arliss,Disraeli,TRUE,white
1929,1930,3,ACTOR IN A LEADING ROLE,George Arliss,The Green Goddess,FALSE,white
1929,1930,3,ACTOR IN A LEADING ROLE,Wallace Beery,The Big House,FALSE,white
1929,1930,3,ACTOR IN A LEADING ROLE,Maurice Chevalier,The Big Pond,FALSE,white
1929,1930,3,ACTOR IN A LEADING ROLE,Ronald Colman,Bulldog Drummond,FALSE,white
1929,1930,3,ACTOR IN A LEADING ROLE,Lawrence Tibbett,The Rogue Song,FALSE,white
1930,1931,4,ACTOR IN A LEADING ROLE,Lionel Barrymore,A Free Soul,TRUE,white
1930,1931,4,ACTOR IN A LEADING ROLE,Jackie Cooper,Skippy,FALSE,white
1930,1931,4,ACTOR IN A LEADING ROLE,Richard Dix,Cimarron,FALSE,white
1930,1931,4,ACTOR IN A LEADING ROLE,Fredric March,The Royal Family of Broadway,FALSE,white
1930,1931,4,ACTOR IN A LEADING ROLE,Adolphe Menjou,The Front Page,FALSE,white
1931,1932,5,ACTOR IN A LEADING ROLE,Wallace Beery,The Champ,TRUE,white
1931,1932,5,ACTOR IN A LEADING ROLE,Alfred Lunt,The Guardsman,FALSE,white
1931,1932,5,ACTOR IN A LEADING ROLE,Fredric March,Dr. Jekyll and Mr. Hyde,TRUE,white
1932,1933,6,ACTOR IN A LEADING ROLE,Leslie Howard,Berkeley Square,FALSE,white
1932,1933,6,ACTOR IN A LEADING ROLE,Charles Laughton,The Private Life of Henry VIII,TRUE,white
1932,1933,6,ACTOR IN A LEADING ROLE,Paul Muni,I Am a Fugitive from a Chain Gang,FALSE,white
1934,1935,7,ACTOR IN A LEADING ROLE,Clark Gable,It Happened One Night,TRUE,white
1934,1935,7,ACTOR IN A LEADING ROLE,Frank Morgan,The Affairs of Cellini,FALSE,white
1934,1935,7,ACTOR IN A LEADING ROLE,William Powell,The Thin Man,FALSE,white
1935,1936,8,ACTOR IN A LEADING ROLE,Clark Gable,Mutiny on the Bounty,FALSE,white
1935,1936,8,ACTOR IN A LEADING ROLE,Charles Laughton,Mutiny on the Bounty,FALSE,white
1935,1936,8,ACTOR IN A LEADING ROLE,Victor McLaglen,The Informer,TRUE,white
1935,1936,8,ACTOR IN A LEADING ROLE,Paul Muni,Black Fury,FALSE,white
1935,1936,8,ACTOR IN A LEADING ROLE,Franchot Tone,Mutiny on the Bounty,FALSE,white
1936,1937,9,ACTOR IN A LEADING ROLE,Gary Cooper,Mr. Deeds Goes to Town,FALSE,white
1936,1937,9,ACTOR IN A LEADING ROLE,Walter Huston,Dodsworth,FALSE,white
1936,1937,9,ACTOR IN A LEADING ROLE,Paul Muni,The Story of Louis Pasteur,TRUE,white
1936,1937,9,ACTOR IN A LEADING ROLE,William Powell,My Man Godfrey,FALSE,white
1936,1937,9,ACTOR IN A LEADING ROLE,Spencer Tracy,San Francisco,FALSE,white
1937,1938,10,ACTOR IN A LEADING ROLE,Charles Boyer,Conquest,FALSE,white
1937,1938,10,ACTOR IN A LEADING ROLE,Fredric March,A Star Is Born,FALSE,white
1937,1938,10,ACTOR IN A LEADING ROLE,Robert Montgomery,Night Must Fall,FALSE,white
1937,1938,10,ACTOR IN A LEADING ROLE,Paul Muni,The Life of Emile Zola,FALSE,white
1937,1938,10,ACTOR IN A LEADING ROLE,Spencer Tracy,Captains Courageous,TRUE,white
1938,1939,11,ACTOR IN A LEADING ROLE,Charles Boyer,Algiers,FALSE,white
1938,1939,11,ACTOR IN A LEADING ROLE,James Cagney,Angels with Dirty Faces,FALSE,white
1938,1939,11,ACTOR IN A LEADING ROLE,Robert Donat,The Citadel,FALSE,white
1938,1939,11,ACTOR IN A LEADING ROLE,Leslie Howard,Pygmalion,FALSE,white
1938,1939,11,ACTOR IN A LEADING ROLE,Spencer Tracy,Boys Town,TRUE,white
1939,1940,12,ACTOR IN A LEADING ROLE,Robert Donat,"Goodbye, Mr. Chips",TRUE,white
1939,1940,12,ACTOR IN A LEADING ROLE,Clark Gable,Gone with the Wind,FALSE,white
1939,1940,12,ACTOR IN A LEADING ROLE,Laurence Olivier,Wuthering Heights,FALSE,white
1939,1940,12,ACTOR IN A LEADING ROLE,Mickey Rooney,Babes in Arms,FALSE,white
1939,1940,12,ACTOR IN A LEADING ROLE,James Stewart,Mr. Smith Goes to Washington,FALSE,white
1940,1941,13,ACTOR IN A LEADING ROLE,Charles Chaplin,The Great Dictator,FALSE,white
1940,1941,13,ACTOR IN A LEADING ROLE,Henry Fonda,The Grapes of Wrath,FALSE,white
1940,1941,13,ACTOR IN A LEADING ROLE,Raymond Massey,Abe Lincoln in Illinois,FALSE,white
1940,1941,13,ACTOR IN A LEADING ROLE,Laurence Olivier,Rebecca,FALSE,white
1940,1941,13,ACTOR IN A LEADING ROLE,James Stewart,The Philadelphia Story,TRUE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Gary Cooper,Sergeant York,TRUE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Cary Grant,Penny Serenade,FALSE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Walter Huston,All That Money Can Buy,FALSE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Robert Montgomery,Here Comes Mr. Jordan,FALSE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Orson Welles,Citizen Kane,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,James Cagney,Yankee Doodle Dandy,TRUE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Ronald Colman,Random Harvest,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Gary Cooper,The Pride of the Yankees,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Walter Pidgeon,Mrs. Miniver,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Monty Woolley,The Pied Piper,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Humphrey Bogart,Casablanca,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Gary Cooper,For Whom the Bell Tolls,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Paul Lukas,Watch on the Rhine,TRUE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Walter Pidgeon,Madame Curie,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Mickey Rooney,The Human Comedy,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Charles Boyer,Gaslight,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Bing Crosby,Going My Way,TRUE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Barry Fitzgerald,Going My Way,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Cary Grant,None but the Lonely Heart,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Alexander Knox,Wilson,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Bing Crosby,The Bells of St. Mary's,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Gene Kelly,Anchors Aweigh,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Ray Milland,The Lost Weekend,TRUE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Gregory Peck,The Keys of the Kingdom,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Cornel Wilde,A Song to Remember,FALSE,white
1946,1947,19,ACTOR IN A LEADING ROLE,Fredric March,The Best Years of Our Lives,TRUE,white
1946,1947,19,ACTOR IN A LEADING ROLE,Laurence Olivier,Henry V,FALSE,white
1946,1947,19,ACTOR IN A LEADING ROLE,Larry Parks,The Jolson Story,FALSE,white
