year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
1943,1944,1,Best Director - Motion Picture,Henry King,The Song Of Bernadette,True,unknown,unknown
1944,1945,2,Best Director - Motion Picture,Leo McCarey,Going My Way,True,white,white
1945,1946,3,Best Director - Motion Picture,Billy Wilder,The Lost Weekend,True,white,white
1946,1947,4,Best Director - Motion Picture,Frank Capra,It's A Wonderful Life,True,white,white
1947,1948,5,Best Director - Motion Picture,Elia Kazan,Gentleman's Agreement,True,white,white
1948,1949,6,Best Director - Motion Picture,John Huston,The Treasure of the Sierra Madre,True,white,white
1949,1950,7,Best Director - Motion Picture,Robert Rossen,All The King's Men,True,white,white
1949,1950,7,Best Director - Motion Picture,William Wyler,The Heiress,False,white,white
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Gloria Swanson,Sunset Boulevard,True,white,white
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Bette Davis,All About Eve,False,white,white
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,False,white,white
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,José Ferrer,Cyrano de Bergerac (1950),True,hispanic,hispanic
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,Louis Calhern,The Magnificent Yankee,False,white,white
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,False,white,white
1950,1951,8,Best Director - Motion Picture,Billy Wilder,Sunset Boulevard,True,white,white
1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,False,white,white
1950,1951,8,Best Director - Motion Picture,John Huston,The Asphalt Jungle,False,white,white
1950,1951,8,Best Director - Motion Picture,Joseph L. Mankiewicz,All About Eve,False,white,white
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil,True,white,white
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Vivien Leigh,A Streetcar Named Desire (1951),False,white,white
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,A Place In The Sun,False,white,white
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Death of a Salesman (1951),True,white,white
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,Detective Story,False,unknown,unknown
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Arthur Kennedy,Bright Victory,False,white,white
1951,1952,9,Best Director - Motion Picture,Laslo Benedek,Death of a Salesman (1951),True,unknown,unknown
1951,1952,9,Best Director - Motion Picture,Vincente Minnelli,An American In Paris,False,white,white
1951,1952,9,Best Director - Motion Picture,George Stevens,A Place In The Sun,False,white,white
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,"Come Back, Little Sheba",True,white,white
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Joan Crawford,Sudden Fear,False,white,white
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Olivia de Havilland,My Cousin Rachel,False,unknown,unknown
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,High Noon,True,white,white
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Charles Boyer,The Happy Time,False,unknown,unknown
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Ray Milland,The Thief,False,unknown,unknown
